title,label,processed_title,high_priority_flag
재학생 신청 및 일정 안내,0,재학생 신청 일정 안내,0
울산대학교     년도  학기 학점교류 수학 안내 만료,0,울산대학교 학점 교류 수학 안내,0
    학년도 여름계절제 학부 강의정보 공유를 위한 설문 실시 안내 만료,0,여름 계절제 학부 강의 정보 공유 설문 실시 안내,1
울산과학기술원     학년도  학기 국내대학 학점교류 수학 안내 만료,0,울산과학기술원 국내 대학 학점 교류 수학 안내,0
한국과학기술원     학년도  학기 국내교환 학점교류 수학 안내 만료,0,한국과학기술원 국내 교환 학점 교류 수학 안내,1
    년도  학기 국내대학 학점교류 수학 안내 만료,0,국내 대학 학점 교류 수학 안내,0
고려대학교     년도  학기 학점교류 수학 안내 만료,0,고려대학교 학점 교류 수학 안내,0
    학년도  학기 학부 강의정보 공유 설문 결과 조회 안내 만료,0,학부 강의 정보 공유 설문 결과 조회 안내,0
한국외국어대학교     년도  학기 국내대학 학점교류 수학 안내 만료,0,한국외국어대학교 국내 대학 학점 교류 수학 안내,0
성신여자대학교     학년도  학기 국내대학 학점교류 수학 안내 만료,0,성신여자대학교 국내 대학 학점 교류 수학 안내,0
     학년도  학기 국내대학 학점교류 수학 안내 만료,0,국내 대학 학점 교류 수학 안내,0
     학년도  학기 국내대학 안내 만료,0,국내 대학 안내,0
중앙대학교     학년도  학기 국내대학 학점교류 수학 안내 만료,0,중앙대학교 국내 대학 학점 교류 수학 안내,0
    학년도  학기 대학 원  신 편 입생 학생증 발급 일정,0,대학 학생증 발급 일정,0
      학기 재학생 등록 안내 registration guideline for current students  만료,0,재학생 등록 안내 registration guideline current student,0
학사경고자 학사지도 안내,0,학사 경고자 학사 지도 안내,0
대학교     년도  학기 국내대학 학점교류 수학 안내 만료,0,대학교 국내 대학 학점 교류 수학 안내,0
전주대학교     년도  학기 국내대학 학점교류 수학 안내 만료,0,전주대학교 국내 대학 학점 교류 수학 안내,0
계명대학교     학년도  학기 국내대학 학점교류 수학 안내 만료,0,계명대학교 국내 대학 학점 교류 수학 안내,0
    년  월 졸업 수료 심사 결과 조회 안내 notification of august      graduation   completion approval status ,0,졸업 수료 심사 결과 조회 안내 notification august graduation completion approval status,0
영남대학교     학년도  학기 국내대학 학점교류 수학안내 만료,0,영남대학교 국내 대학 학점 교류 수학 안내,0
 총장 초빙 공고,0,총장 초빙 공고,0
    년  월 졸업 신청 안내 notices for february      graduation application ,0,졸업 신청 안내 notice february graduation application,0
      학기 점심나눔 신청 안내,0,점심 신청 안내,0
      학기 학생건강공제회 접수마감 안내,0,학생 건강 공제 안내,0
      학기 학생건강공제회 가입 및 이용안내 요약 ,0,학생 건강 공제 가입 이용 안내 요약,0
     관련 개인정보 알림,0,관련 개인정보,0
졸업앨범 미촬영자 앨범비,0,졸업앨범 촬영 앨범,0
 총장 절차 및 신고 안내,0,총장 절차 신고 안내,0
    년도  학기 국내대학 교환학생 타대생  학사안내 만료,0,국내 대학 교환 학생 타대생 학사 안내,1
    학년도  학기 졸업예정자 복수전공 합격자 발표,0,졸업 예정자 복수 전공 합격자 발표,0
    학년도  학기 선택교양 일몰 교과목 재수강 지정 목록 및 신청 안내,0,선택 교양 일몰 교과목 수강 지정 목록 신청 안내,1
안내 ,0,안내,0
    년  월 졸업신청 안내  학사학위수료자 대상 ,0,졸업 신청 안내 학사 학위 수료 대상,0
학생 제도 안내,0,학생 제도 안내,0
    년  월 학위수여식 안내,0,학위 수여식 안내,0
 학기 및  월 회원등록 안내 만료,0,회원 등록 안내,0
    년  월 학위수여식 단축 안내,0,학위 수여식 단축 안내,0
한남대학교     학년도  학기 국내대학 학점 교류 수학 안내,0,한남대학교 국내 대학 학점 교류 수학 안내,0
    학년도  학기 학부 수강인원 미달 교과목 안내,0,학부 수강 인원 미달 교과목 안내,0
      학기 졸업앨범 추가 촬영 일정 및 앨범비 납부 안내,0,졸업앨범 추가 촬영 일정 앨범 납부 안내,0
    년  월 조기졸업 신청 application period for      february graduation ,0,조기 졸업 신청 application period february graduation,0
교과목 안내,0,교과목 안내,0
 총장 검증 안내,0,총장 검증 안내,0
    학년도  학기 신촌캠퍼스 셔틀버스 운행시간표,0,신촌 캠퍼스 셔틀버스 운행 시간표,0
교내 및 네트워크 일시 중지 안내,0,교내 네트워크 일시 중지 안내,0
    학년도  학기 수강인원 따른  차 폐강 안내 만료,0,수강 인원 폐강 안내,0
국제캠퍼스 운행시간표,0,국제 캠퍼스 운행 시간표,0
     ihei 추가모집,0,ihei 추가 모집,0
      학기 분할납부   월 등록일정 안내 만료,0,분할 납부 등록 일정 안내,0
adobe id 신청 안내,0,adobe id 신청 안내,0
    학년도 겨울 계절제 수업 안내  학부  만료,0,겨울 계절제 수업 안내 학부,1
교과목 추가 안내,0,교과목 추가 안내,0
    학년도  학기 학부 수강과목 철회 안내 만료,0,학부 수강 과목 철회 안내,0
      학기 설명회 및 전형 일정 안내 만료,1,설명회 전형 일정 안내,0
      학기 분할납부  회 신청자  차 납부     tuition installment payment guideline  만료,0,분할 납부 신청자 납부 tuition installment payment guideline,0
    학년도 겨울 계절제 교과목 수요조사 안내 만료,0,겨울 계절제 교과목 수요 조사 안내,1
교직과정 이수예정자 및,0,교직과정 이수 예정자,0
실험실,0,실험실,0
    학년도  학기 중간고사 개방 강의실 안내,0,중간고사 개방 강의실 안내,0
    학년도 전기 입학설명회 안내,0,전기 입학 설명회 안내,0
    학년도  학기 재입학 일반전형 안내 re admission application guidelines   general round for      semester ,0,재입학 일반 전형 안내 re admission application guideline general round semester,0
    년  학기 예비군훈련 안내,0,예비군 훈련 안내,0
    년  월 졸업신청 확인 및 변경 application for february      graduation ,0,졸업 신청 확인 변경 application february graduation,0
    학년도 현장 초빙 워크샵 ii,0,현장 초빙 워크샵 ii,0
 학기 국제캠퍼스 전공 중간시험 시간표,0,국제 캠퍼스 전공 중간시험 시간표,0
